GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370019108,2010,Tennessee,47,Davidson County,37,19108,2491,2991,3248,3527,1877,1524,1559,837,544,1033,794,626,17,15,15,94,36,39,48,185,4,0,12,6,13,267,597,1177,0,113,223,602,35,502,1527,2034
G4700370019109,2010,Tennessee,47,Davidson County,37,19109,4504.92,4465.06,4692,5605,3709.29,2904.04,2535,1702,608.89,981.01,1086,783,15.22,14,17,103,161.52,213.01,166,695,0,1,2,1,10,176,694,1637,0,176,192,684,72.22,266,1387,2463
G4700370019110,2010,Tennessee,47,Davidson County,37,19110,3465.73,3353.61,3749,4042,3000.7,2425.57,2227,1579,382.01,588.03,608,544,10,11,32,64,57.02,79,64,226,1,1,1,2,15,148,583,1164,0,101.01,234,463,45,276,1238,1710
G4700370019111,2010,Tennessee,47,Davidson County,37,19111,3558.01,3864.94,4163,4516,2931.65,2542.96,1973,1422,451.1,879.99,1364,1309,13.78,11,15,77,145.48,183.99,167,272,2,2,0,1,14,110,490,928,0,135,154,507,62.78,243,845,1532
G4700370019112,2010,Tennessee,47,Davidson County,37,19112,2190.06,2466,3912,5228,1689.05,1447,1878,2112,434.01,682,1175,1289,6,1,22,40,39,100,320,456,0,1,1,3,22,145,374,900,0,90,142,428,25,274,747,1358
G4700370019114,2010,Tennessee,47,Davidson County,37,19114,1380,1984.14,9429,15243,1334,1795,7243,10300,32,122.14,1261,2313,0,1,9,36,7,33,516,1069,0,0,0,5,7,12,117,402,0,21,283,1118,9,24,400,1013
G4700370019115,2010,Tennessee,47,Davidson County,37,19115,607.99,1877.86,3654,3906,563.93,1570,2810,2746,35.96,204.86,464,474,0.83,2,8,7,6.45,83,238,300,0,0,4,3,0.83,1,27,93,0,17,103,283,3.15,29,129,188
G4700370019116,2010,Tennessee,47,Davidson County,37,19116,1883.94,4937.78,6340,7366,1660.01,3502.81,4388,4552,169.04,1097.98,1355,1348,8.17,7,17,8,42.55,221.99,305,505,0,1,0,2,4.17,30,79,319,0,77,196,632,15.84,61,248,636
G4700370019117,2010,Tennessee,47,Davidson County,37,19117,493.65,772.92,3948,5296,451.36,636.41,2039,2186,35,102.23,1422,1816,3.01,2.11,1,5,3.2,23.85,249,471,0,0.02,5,2,1.08,1.64,128,368,0,6.66,104,448,8.21,16.57,313,713
G4700370019118,2010,Tennessee,47,Davidson County,37,19118,3068.35,4154.08,4780,5636,2616.64,2793.59,2130,1457,389,1004.77,1867,2144,8.99,14.89,23,39,42.8,147.15,188,819,0,4.98,0,1,10.92,92.36,367,676,0,96.34,205,500,32.79,218.43,773,1157
G4700370019200,2010,Tennessee,47,Davidson County,37,19200,3809.91,3586.73,3497,3567,2560.66,2018.82,2088,2294,982.25,1263.29,1211,903,26,19.8,19,5,230,79,63,75,1,8,10,0,10,41.8,39,50,0,156.01,67,240,32,70.8,103,149
G4700370019300,2010,Tennessee,47,Davidson County,37,19300,3866.09,3830.27,3523,3544,1438.34,738.18,634,843,2364.75,2875.71,2724,2375,10,15.2,5,16,20,25,4,28,0,40,4,7,33,20.2,20,40,0,115.99,132,235,44,38.2,55,119
G4700370019400,2010,Tennessee,47,Davidson County,37,19400,2984.57,2891.5,3639,8285,651,508.02,1386,5713,2322.57,2289.47,2119,1685,6,3,9,20,0,6,43,224,0,1,0,2,5,44,26,95,0,40.01,56,546,14.01,67.01,97,382
G4700370019500,2010,Tennessee,47,Davidson County,37,19500,3260,2971,5916,12414,1864,1740,3780,9259,1255,1034,1684,1488,35,12,32,24,87,101,252,733,2,3,5,4,17,30,57,184,0,51,106,722,72,130,231,697
G4700370019600,2010,Tennessee,47,Davidson County,37,19600,3235,3990,3764,3666,2890,2390,2382,1964,287,512,979,761,16,16,9,32,35,67,48,85,0,2,15,1,7,862,236,458,0,141,95,365,44,1209,466,758
G4700370980100,2010,Tennessee,47,Davidson County,37,980100,551.07,0,0,14,403.39,0,0,7,141.73,0,0,5,2.97,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.93,0,0,1
G4700370980200,2010,Tennessee,47,Davidson County,37,980200,2.21,1.17,0,3,2.21,1.15,0,0,0.01,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2,0,0.01,0,2
